t 1 2 3 4 5 6 7 8 J9V0500 J10V0300 
5.8e-007        1.65        1.95         2.9         1.8        0.29           5           0         3.2   -1.5e-005    -0.00015  
5.9e-007         1.7        2.05        2.95         1.7       0.295           5           0         3.3   -1.5e-005    -0.00015  
6e-007        1.75        2.15           3         1.6         0.3           5           0         3.4   -1.5e-005    -0.00015  
6.1e-007         1.8        2.25        3.05         1.5       0.305           5           0         3.5   -1.5e-005    -0.00015  
6.2e-007        1.85        2.35         3.1         1.4        0.31           5           0         3.6   -1.5e-005    -0.00015  
6.3e-007         1.9        2.45        3.15         1.3       0.315           5           0         3.7   -1.5e-005    -0.00015  
6.4e-007        1.95         2.5         3.2         1.2        0.32           5           0         3.8   -1.5e-005    -0.00015  
6.5e-007           2         2.5        3.25         1.1       0.325           5           0         3.9   -1.5e-005    -0.00015  
6.6e-007        2.05         2.5         3.3           1        0.33           5           0           4   -1.5e-005    -0.00015  
6.7e-007         2.1         2.5        3.35         0.9       0.335           5           0         4.1   -1.5e-005    -0.00015  
6.8e-007        2.15         2.5         3.4         0.8        0.34           5           0         4.2   -1.5e-005    -0.00015  
6.9e-007         2.2         2.5        3.45         0.7       0.345           5           0         4.3   -1.5e-005    -0.00015  
7e-007        2.25         2.5         3.5         0.6        0.35           5           0         4.4   -1.5e-005    -0.00015  
7.1e-007         2.3         2.5        3.55         0.5       0.355           5           0         4.5   -1.5e-005    -0.00015  
7.2e-007        2.35         2.5         3.6         0.4        0.36           5           0         4.6   -1.5e-005    -0.00015  
7.3e-007         2.4         2.5        3.65         0.3       0.365           5           0         4.7   -1.5e-005    -0.00015  
7.4e-007        2.45         2.5         3.7         0.2        0.37           5           0         4.8   -1.5e-005    -0.00015  
7.5e-007         2.5         2.5        3.75         0.1       0.375           5           0         4.9   -1.5e-005    -0.00015  
7.6e-007         2.5         2.5         3.8        0.05        0.38           5           0        4.95   -1.5e-005    -0.00015  
7.7e-007         2.5         2.5        3.85       0.025       0.385           5           0       4.975   -1.5e-005    -0.00015  
7.8e-007         2.5         2.5         3.9      0.0125        0.39           5           0      4.9875   -1.5e-005    -0.00015  
7.9e-007         2.5         2.5        3.95     0.00625       0.395           5           0     4.99375   -1.5e-005    -0.00015  
8e-007         2.5         2.5           4    0.003125         0.4           5           0     4.99687   -1.5e-005    -0.00015  
8.1e-007         2.5         2.5        4.05   0.0015625       0.405           5           0     4.99844   -1.5e-005    -0.00015  
8.2e-007         2.5         2.5         4.1  0.00078125        0.41           5           0     4.99922   -1.5e-005    -0.00015  
8.3e-007         2.5         2.5        4.15  0.000390625       0.415           5           0     4.99961   -1.5e-005    -0.00015  
8.4e-007         2.5         2.5         4.2  0.000195312        0.42           5           0      4.9998   -1.5e-005    -0.00015  
8.5e-007         2.5         2.5        4.25  9.76562e-005       0.425           5           0      4.9999   -1.5e-005    -0.00015  
8.6e-007         2.5         2.5         4.3  4.88281e-005        0.43           5           0     4.99995   -1.5e-005    -0.00015  
8.7e-007         2.5         2.5        4.35  2.44141e-005       0.435           5           0     4.99998   -1.5e-005    -0.00015  
8.8e-007         2.5         2.5         4.4  1.2207e-005        0.44           5           0     4.99999   -1.5e-005    -0.00015  
8.9e-007         2.5         2.5        4.45  6.10352e-006       0.445           5           0     4.99999   -1.5e-005    -0.00015  
9e-007         2.5         2.5         4.5  3.05176e-006        0.45           5           0           5   -1.5e-005    -0.00015  
9.1e-007         2.5         2.5        4.55  1.52588e-006       0.455           5           0           5   -1.5e-005    -0.00015  
9.2e-007         2.5         2.5         4.6  7.62939e-007        0.46           5           0           5   -1.5e-005    -0.00015  
9.3e-007         2.5         2.5        4.65  3.8147e-007       0.465           5           0           5   -1.5e-005    -0.00015  
9.4e-007         2.5         2.5         4.7  1.90735e-007        0.47           5           0           5   -1.5e-005    -0.00015  
9.5e-007         2.5         2.5        4.75  9.53674e-008       0.475           5           0           5   -1.5e-005    -0.00015  
9.6e-007         2.5         2.5         4.8  4.76837e-008        0.48           5           0           5   -1.5e-005    -0.00015  
9.7e-007         2.5         2.5        4.85  2.38419e-008       0.485           5           0           5   -1.5e-005    -0.00015  
9.8e-007         2.5         2.5         4.9  1.19209e-008        0.49           5           0           5   -1.5e-005    -0.00015  
9.9e-007         2.5         2.5        4.95  5.96046e-009       0.495           5           0           5   -1.5e-005    -0.00015  
1e-006         2.5         2.5           5  2.98023e-009         0.5           5           0           5   -1.5e-005    -0.00015  
1.01e-006         2.5         2.5        4.95  1.49012e-009       0.505           5           0           5   -1.5e-005     0.00015  
1.02e-006         2.5         2.5         4.9  7.45058e-010        0.51           5           0           5   -1.5e-005     0.00015  
1.03e-006         2.5         2.5        4.85  3.72529e-010       0.515           5           0           5   -1.5e-005     0.00015  
1.04e-006         2.5         2.5         4.8  1.86265e-010        0.52           5           0           5   -1.5e-005     0.00015  
