t 1 2 3 4 J5L0203 J6E0400 J7V0200 
0.00074           0    -9.98027    -9.98027           0           0           0           0  
0.00075           0         -10         -10           0           0           0           0  
0.00076           0    -9.98027    -9.98027           0           0           0           0  
0.00077           0    -9.92115    -9.92115           0           0           0           0  
0.00078           0    -9.82287    -9.82287           0           0           0           0  
0.00079           0    -9.68583    -9.68583           0           0           0           0  
0.0008           0    -9.51057    -9.51057           0           0           0           0  
0.00081           0    -9.29776    -9.29776           0           0           0           0  
0.00082           0    -9.04827    -9.04827           0           0           0           0  
0.00083           0    -8.76307    -8.76307           0           0           0           0  
0.00084           0    -8.44328    -8.44328           0           0           0           0  
0.00085           0    -8.09017    -8.09017           0           0           0           0  
0.00086           0    -7.70513    -7.70513           0           0           0           0  
0.00087           0    -7.28969    -7.28969           0           0           0           0  
0.00088           0    -6.84547    -6.84547           0           0           0           0  
0.00089           0    -6.37424    -6.37424           0           0           0           0  
0.0009           0    -5.87785    -5.87785           0           0           0           0  
0.00091           0    -5.35827    -5.35827           0           0           0           0  
0.00092           0    -4.81754    -4.81754           0           0           0           0  
0.00093           0    -4.25779    -4.25779           0           0           0           0  
0.00094           0    -3.68125    -3.68125           0           0           0           0  
0.00095           0    -3.09017    -3.09017           0           0           0           0  
0.00096           0     -2.4869     -2.4869           0           0           0           0  
0.00097           0    -1.87381    -1.87381           0           0           0           0  
0.00098           0    -1.25333    -1.25333           0           0           0           0  
0.00099           0   -0.627905   -0.627905           0           0           0           0  
0.001           0  -7.17957e-008  -7.17957e-008           0           0           0           0  
0.00101   0.0570822    0.627905   0.0570828    0.570822  0.00570822           0  -0.00570822  
0.00102    0.165832     1.25333    0.165834      1.0875   0.0165832           0  -0.0165832  
0.00103    0.321103     1.87381    0.321106     1.55271   0.0321103           0  -0.0321103  
0.00104    0.517993      2.4869    0.517998      1.9689   0.0517993           0  -0.0517993  
0.00105    0.751826     3.09017    0.751834     2.33834   0.0751826           0  -0.0751826  
0.00106     1.01814     3.68125     1.01815      2.6631    0.101814           0   -0.101814  
0.00107     1.31265     4.25779     1.31266     2.94513    0.131265           0   -0.131265  
0.00108     1.63127     4.81754     1.63129     3.18625    0.163127           0   -0.163127  
0.00109     1.97009     5.35827     1.97011     3.38816    0.197009           0   -0.197009  
0.0011     2.32534     5.87785     2.32536     3.55249    0.232534           0   -0.232534  
0.00111     2.69342     6.37424     2.69345     3.68079    0.269342           0   -0.269342  
0.00112     3.07087     6.84547     3.07091     3.77457    0.307087           0   -0.307087  
0.00113      3.4544     7.28969     3.45443     3.83525     0.34544           0    -0.34544  
0.00114     3.84083     7.70513     3.84087     3.86427    0.384083           0   -0.384083  
0.00115     4.22713     8.09017     4.22717       3.863    0.422713           0   -0.422713  
0.00116     4.61041     8.44328     4.61046     3.83282    0.461041           0   -0.461041  
0.00117     4.98792     8.76307     4.98797      3.7751    0.498792           0   -0.498792  
0.00118     5.35704     9.04827     5.35709     3.69118    0.535704           0   -0.535704  
0.00119     5.71528     9.29776     5.71534     3.58243    0.571528           0   -0.571528  
0.0012      6.0603     9.51057     6.06036      3.4502     0.60603           0    -0.60603  
0.00121     6.38989     9.68583     6.38995     3.29588    0.638989           0   -0.638989  
0.00122     6.70197     9.82287     6.70204     3.12083    0.670197           0   -0.670197  
0.00123     6.99462     9.92115     6.99469     2.92646    0.699462           0   -0.699462  
0.00124     7.26603     9.98027     7.26611     2.71416    0.726603           0   -0.726603  
0.00125     7.51457          10     7.51464     2.48536    0.751457           0   -0.751457  
0.00126     7.73872     9.98027     7.73879     2.24147    0.773872           0   -0.773872  
